year,month,month_year,day_of_week,total_revenue,total_transactions,avg_transaction
2012,12,2012-12,Thursday,23870,365,65.3972602739726
2012,12,2012-12,Tuesday,21023,321,65.49221183800623
2012,12,2012-12,Wednesday,22215,346,64.20520231213872
2013,1,2013-01,Friday,23179,366,63.330601092896174
2013,1,2013-01,Monday,21574,352,61.28977272727273
2013,1,2013-01,Saturday,25603,399,64.16791979949875
2013,1,2013-01,Sunday,23748,362,65.60220994475138
2013,1,2013-01,Thursday,27863,429,64.94871794871794
2013,1,2013-01,Tuesday,29988,462,64.9090909090909
2013,1,2013-01,Wednesday,29774,451,66.01773835920177
2013,2,2013-02,Friday,24236,376,64.45744680851064
2013,2,2013-02,Monday,22969,354,64.88418079096046
2013,2,2013-02,Saturday,23819,367,64.90190735694823
2013,2,2013-02,Sunday,22539,347,64.95389048991355
2013,2,2013-02,Thursday,21430,329,65.13677811550151
2013,2,2013-02,Tuesday,22256,343,64.8862973760933
2013,2,2013-02,Wednesday,22984,360,63.84444444444444
2013,3,2013-03,Friday,29856,464,64.34482758620689
2013,3,2013-03,Monday,25098,394,63.7005076142132
2013,3,2013-03,Saturday,27625,418,66.08851674641149
2013,3,2013-03,Sunday,29747,460,64.66739130434783
2013,3,2013-03,Thursday,23425,358,65.43296089385476
2013,3,2013-03,Tuesday,22969,351,65.43874643874643
2013,3,2013-03,Wednesday,22669,352,64.40056818181819
2013,4,2013-04,Friday,25524,396,64.45454545454545
2013,4,2013-04,Monday,27592,415,66.4867469879518
2013,4,2013-04,Saturday,24269,376,64.54521276595744
2013,4,2013-04,Sunday,21122,321,65.80062305295951
2013,4,2013-04,Thursday,22575,353,63.95184135977337
2013,4,2013-04,Tuesday,29695,464,63.997844827586206
2013,4,2013-04,Wednesday,22865,350,65.32857142857142
2013,5,2013-05,Friday,29495,449,65.69042316258351
2013,5,2013-05,Monday,21303,333,63.972972972972975
2013,5,2013-05,Saturday,25305,374,67.66042780748663
2013,5,2013-05,Sunday,25213,391,64.48337595907928
2013,5,2013-05,Thursday,28283,436,64.86926605504587
2013,5,2013-05,Tuesday,24303,381,63.78740157480315
2013,5,2013-05,Wednesday,31924,499,63.97595190380761
2013,6,2013-06,Friday,23052,348,66.24137931034483
2013,6,2013-06,Monday,24860,391,63.58056265984655
2013,6,2013-06,Saturday,30243,472,64.07415254237289
2013,6,2013-06,Sunday,28864,441,65.45124716553288
2013,6,2013-06,Thursday,22758,349,65.20916905444126
2013,6,2013-06,Tuesday,23612,372,63.473118279569896
2013,6,2013-06,Wednesday,23424,360,65.06666666666666
2013,7,2013-07,Friday,22127,333,66.44744744744744
2013,7,2013-07,Monday,32663,498,65.58835341365462
2013,7,2013-07,Saturday,22036,346,63.6878612716763
2013,7,2013-07,Sunday,22251,345,64.49565217391304
2013,7,2013-07,Thursday,23881,374,63.85294117647059
2013,7,2013-07,Tuesday,29020,450,64.4888888888889
2013,7,2013-07,Wednesday,28989,445,65.14382022471911
2013,8,2013-08,Friday,27840,427,65.19906323185012
2013,8,2013-08,Monday,23915,361,66.24653739612188
2013,8,2013-08,Saturday,30445,478,63.69246861924686
2013,8,2013-08,Sunday,21934,337,65.0860534124629
2013,8,2013-08,Thursday,29695,456,65.12061403508773
2013,8,2013-08,Tuesday,22240,338,65.79881656804734
2013,8,2013-08,Wednesday,23962,362,66.19337016574586
2013,9,2013-09,Friday,20833,319,65.30721003134796
2013,9,2013-09,Monday,29247,444,65.87162162162163
2013,9,2013-09,Saturday,25700,390,65.8974358974359
2013,9,2013-09,Sunday,30114,477,63.132075471698116
2013,9,2013-09,Thursday,24037,363,66.21763085399449
2013,9,2013-09,Tuesday,24434,377,64.81167108753316
2013,9,2013-09,Wednesday,22465,344,65.30523255813954
2013,10,2013-10,Friday,24314,366,66.43169398907104
2013,10,2013-10,Monday,23759,369,64.38753387533875
2013,10,2013-10,Saturday,23340,354,65.9322033898305
2013,10,2013-10,Sunday,24749,377,65.64721485411141
2013,10,2013-10,Thursday,28319,442,64.07013574660634
2013,10,2013-10,Tuesday,29959,456,65.69956140350877
2013,10,2013-10,Wednesday,27081,412,65.73058252427184
2013,11,2013-11,Friday,30499,453,67.32671081677704
2013,11,2013-11,Monday,21934,342,64.13450292397661
2013,11,2013-11,Saturday,30401,453,67.1103752759382
2013,11,2013-11,Sunday,25037,375,66.76533333333333
2013,11,2013-11,Thursday,22498,352,63.91477272727273
2013,11,2013-11,Tuesday,23787,373,63.77211796246649
2013,11,2013-11,Wednesday,23185,366,63.34699453551912
2013,12,2013-12,Friday,25856,397,65.12846347607054
2013,12,2013-12,Monday,29687,449,66.11804008908686
2013,12,2013-12,Saturday,24477,377,64.92572944297082
2013,12,2013-12,Sunday,26100,398,65.57788944723617
2013,12,2013-12,Thursday,24254,374,64.85026737967914
2013,12,2013-12,Tuesday,27827,434,64.11751152073732
2013,12,2013-12,Wednesday,22601,351,64.3903133903134
2014,1,2014-01,Friday,25826,396,65.21717171717172
2014,1,2014-01,Monday,24474,387,63.24031007751938
2014,1,2014-01,Saturday,24882,377,66.0
2014,1,2014-01,Sunday,23735,357,66.48459383753502
2014,1,2014-01,Thursday,30839,473,65.19873150105708
2014,1,2014-01,Tuesday,23359,361,64.70637119113573
2014,1,2014-01,Wednesday,31439,485,64.82268041237113
2014,2,2014-02,Friday,22148,340,65.14117647058823
2014,2,2014-02,Monday,20914,325,64.35076923076923
2014,2,2014-02,Saturday,20454,319,64.11912225705329
2014,2,2014-02,Sunday,23637,361,65.4764542936288
2014,2,2014-02,Thursday,21718,325,66.82461538461538
2014,2,2014-02,Tuesday,23188,359,64.59052924791087
2014,2,2014-02,Wednesday,22092,346,63.84971098265896
2014,3,2014-03,Friday,20561,313,65.69009584664536
2014,3,2014-03,Monday,28804,439,65.6127562642369
2014,3,2014-03,Saturday,29763,453,65.70198675496688
2014,3,2014-03,Sunday,26321,418,62.9688995215311
2014,3,2014-03,Thursday,23806,369,64.51490514905149
2014,3,2014-03,Tuesday,25250,371,68.05929919137466
2014,3,2014-03,Wednesday,25224,394,64.02030456852792
2014,4,2014-04,Friday,22252,343,64.87463556851311
2014,4,2014-04,Monday,21373,322,66.37577639751552
2014,4,2014-04,Saturday,22656,352,64.36363636363636
2014,4,2014-04,Sunday,23538,361,65.202216066482
2014,4,2014-04,Thursday,22723,359,63.29526462395543
2014,4,2014-04,Tuesday,31771,485,65.50721649484537
2014,4,2014-04,Wednesday,29836,464,64.30172413793103
2014,5,2014-05,Friday,25907,399,64.9298245614035
2014,5,2014-05,Monday,20251,321,63.087227414330215
2014,5,2014-05,Saturday,26231,401,65.4139650872818
2014,5,2014-05,Sunday,24230,372,65.13440860215054
2014,5,2014-05,Thursday,27300,420,65.0
2014,5,2014-05,Tuesday,24023,369,65.1029810298103
2014,5,2014-05,Wednesday,21613,330,65.4939393939394
2014,6,2014-06,Friday,22138,344,64.3546511627907
2014,6,2014-06,Monday,28960,452,64.070796460177
2014,6,2014-06,Saturday,23054,348,66.24712643678161
2014,6,2014-06,Sunday,33281,509,65.38506876227898
2014,6,2014-06,Thursday,24034,359,66.94707520891365
2014,6,2014-06,Tuesday,20091,304,66.08881578947368
2014,6,2014-06,Wednesday,21183,326,64.97852760736197
2014,7,2014-07,Friday,23089,357,64.6750700280112
2014,7,2014-07,Monday,21366,321,66.5607476635514
2014,7,2014-07,Saturday,23569,352,66.95738636363636
2014,7,2014-07,Sunday,24089,374,64.4090909090909
2014,7,2014-07,Thursday,26789,409,65.49877750611248
2014,7,2014-07,Tuesday,28485,447,63.7248322147651
2014,7,2014-07,Wednesday,31639,485,65.23505154639176
2014,8,2014-08,Friday,27474,423,64.95035460992908
2014,8,2014-08,Monday,22519,344,65.46220930232558
2014,8,2014-08,Saturday,27411,428,64.04439252336448
2014,8,2014-08,Sunday,30829,474,65.04008438818565
2014,8,2014-08,Thursday,26163,397,65.90176322418137
2014,8,2014-08,Tuesday,19341,301,64.25581395348837
2014,8,2014-08,Wednesday,25238,392,64.38265306122449
2014,9,2014-09,Friday,23164,349,66.37249283667622
2014,9,2014-09,Monday,30619,473,64.73361522198732
2014,9,2014-09,Saturday,21191,334,63.446107784431135
2014,9,2014-09,Sunday,25680,394,65.17766497461929
2014,9,2014-09,Thursday,21882,331,66.10876132930514
2014,9,2014-09,Tuesday,28741,443,64.87810383747178
2014,9,2014-09,Wednesday,22108,351,62.98575498575499
2014,10,2014-10,Friday,28189,430,65.55581395348837
2014,10,2014-10,Monday,22904,344,66.5813953488372
2014,10,2014-10,Saturday,23372,356,65.65168539325843
2014,10,2014-10,Sunday,23138,358,64.63128491620111
2014,10,2014-10,Thursday,31495,474,66.44514767932489
2014,10,2014-10,Tuesday,22119,355,62.307042253521125
2014,10,2014-10,Wednesday,28086,443,63.39954853273138
2014,11,2014-11,Friday,22802,348,65.52298850574712
2014,11,2014-11,Monday,23614,363,65.05234159779614
2014,11,2014-11,Saturday,28654,439,65.27107061503416
2014,11,2014-11,Sunday,29944,466,64.25751072961373
2014,11,2014-11,Thursday,21732,334,65.06586826347305
2014,11,2014-11,Tuesday,23297,366,63.65300546448088
2014,11,2014-11,Wednesday,24812,373,66.5201072386059
2014,12,2014-12,Friday,20895,322,64.8913043478261
2014,12,2014-12,Monday,26671,417,63.959232613908874
2014,12,2014-12,Saturday,26512,406,65.30049261083744
2014,12,2014-12,Sunday,20217,313,64.59105431309904
2014,12,2014-12,Thursday,23486,373,62.96514745308311
2014,12,2014-12,Tuesday,27914,434,64.31797235023042
2014,12,2014-12,Wednesday,28245,423,66.77304964539007
2015,1,2015-01,Friday,32697,496,65.92137096774194
2015,1,2015-01,Monday,24494,363,67.47658402203857
2015,1,2015-01,Saturday,24630,370,66.56756756756756
2015,1,2015-01,Sunday,21342,327,65.26605504587155
2015,1,2015-01,Thursday,28249,442,63.911764705882355
2015,1,2015-01,Tuesday,24249,372,65.18548387096774
2015,1,2015-01,Wednesday,24176,381,63.45406824146982
2015,2,2015-02,Friday,23813,366,65.06284153005464
2015,2,2015-02,Monday,22991,345,66.64057971014493
2015,2,2015-02,Saturday,22457,349,64.34670487106017
2015,2,2015-02,Sunday,22724,356,63.831460674157306
2015,2,2015-02,Thursday,23435,359,65.27855153203343
2015,2,2015-02,Tuesday,24501,375,65.336
2015,2,2015-02,Wednesday,20548,316,65.0253164556962
2015,3,2015-03,Friday,12157,194,62.66494845360825
2015,3,2015-03,Monday,18950,291,65.12027491408935
2015,3,2015-03,Saturday,10984,172,63.86046511627907
2015,3,2015-03,Sunday,16720,251,66.61354581673307
2015,3,2015-03,Thursday,11478,174,65.96551724137932
2015,3,2015-03,Tuesday,12549,196,64.02551020408163
2015,3,2015-03,Wednesday,11991,175,68.52
