customer_id,response,total_spend,num_orders,last_purchase,first_purchase
CS1281,0,1715,23,2015-03-04,2011-05-28
CS1282,0,1014,15,2014-11-04,2011-10-21
CS1283,0,1683,22,2015-02-25,2011-07-16
CS1284,0,1836,24,2015-03-11,2011-08-21
CS1285,0,1778,24,2015-02-19,2011-05-24
CS1286,1,1511,21,2015-01-07,2011-07-07
CS1287,0,1440,20,2014-09-07,2011-06-27
CS1288,0,1125,17,2014-07-08,2011-06-13
CS1289,0,1355,19,2015-03-13,2011-08-02
CS1290,0,1625,20,2014-12-10,2011-07-21
CS1291,0,1006,15,2015-03-16,2011-11-20
CS1292,0,1307,18,2015-02-23,2011-10-21
CS1293,1,1625,21,2015-01-01,2011-05-27
CS1294,0,2129,30,2015-02-10,2011-06-04
CS1295,0,1487,22,2015-03-13,2011-06-29
CS1296,0,1505,21,2015-03-04,2011-05-25
CS1297,0,765,12,2015-01-11,2011-05-24
CS1298,0,1561,21,2015-01-31,2011-07-15
CS1299,1,1552,21,2014-12-06,2012-03-19
CS1300,0,1309,18,2015-03-09,2011-08-31
CS1301,0,1250,19,2015-02-19,2011-06-01
CS1302,0,1278,19,2015-02-14,2011-05-20
CS1303,1,1634,22,2015-02-02,2011-08-23
CS1304,0,874,15,2014-12-27,2011-08-02
CS1305,0,1031,16,2014-12-01,2011-09-23
CS1306,0,1153,15,2015-03-12,2012-01-21
CS1307,0,1220,18,2015-01-02,2011-10-04
CS1308,0,1487,21,2015-02-26,2011-08-21
CS1309,0,761,12,2015-01-11,2011-05-20
CS1310,1,1103,15,2014-11-16,2011-11-02
CS1311,0,1129,18,2015-02-10,2011-06-09
CS1312,1,1353,16,2015-02-26,2011-08-13
CS1313,0,2072,29,2015-03-05,2011-06-20
CS1314,0,891,13,2013-10-13,2011-11-14
CS1315,0,1030,15,2015-01-01,2012-05-10
CS1316,0,1726,26,2015-02-15,2011-05-17
CS1317,0,1146,16,2015-02-26,2012-05-25
CS1318,0,1693,22,2015-02-28,2011-07-09
CS1319,0,1161,18,2014-12-18,2011-09-26
CS1320,0,1382,18,2015-03-04,2011-07-24
CS1321,0,1668,21,2015-03-16,2011-09-15
CS1322,0,1964,26,2015-03-11,2011-08-29
CS1323,0,1595,23,2014-11-11,2011-05-27
CS1324,1,1611,24,2014-08-20,2011-11-13
CS1325,0,1209,18,2014-08-25,2011-06-09
CS1326,0,1940,27,2015-02-20,2011-06-04
CS1327,0,1525,23,2015-03-02,2011-12-12
CS1328,0,1043,15,2014-08-10,2011-08-08
CS1329,0,1158,17,2014-11-14,2011-07-14
CS1330,0,1750,23,2015-02-17,2011-08-30
CS1331,0,1170,15,2015-03-06,2011-06-07
CS1332,0,2010,29,2014-11-06,2011-06-16
CS1333,0,625,8,2015-01-29,2012-01-11
CS1334,0,1781,25,2014-12-27,2011-07-11
CS1335,0,1157,17,2014-11-15,2011-09-30
CS1336,0,1696,24,2014-11-28,2011-07-12
CS1337,0,1668,22,2015-02-08,2011-07-25
CS1338,0,1436,18,2015-02-25,2011-05-26
CS1339,0,1680,23,2015-01-16,2011-05-19
CS1340,0,1506,20,2014-11-10,2011-07-28
CS1341,0,1038,13,2015-01-07,2011-06-30
CS1342,0,1326,16,2015-03-15,2011-06-20
CS1343,0,1489,21,2015-01-08,2011-07-19
CS1344,1,1638,25,2015-02-20,2011-06-11
CS1345,0,1193,18,2014-12-06,2011-07-12
CS1346,0,1072,15,2014-09-30,2011-08-03
CS1347,0,2000,30,2015-03-12,2011-05-18
CS1348,0,1583,22,2015-01-17,2011-07-29
CS1349,0,1086,16,2015-02-28,2011-09-27
CS1350,1,1996,27,2015-02-12,2011-06-02
CS1351,0,1505,21,2014-11-14,2011-07-12
CS1352,0,1424,20,2015-02-04,2011-07-18
CS1353,0,1408,19,2014-08-23,2011-10-15
CS1354,0,1324,16,2014-02-02,2011-08-12
CS1355,1,1507,23,2015-01-27,2011-07-05
CS1356,0,1740,24,2014-12-26,2011-07-30
CS1357,0,1775,26,2014-10-14,2011-06-08
CS1358,0,1408,19,2015-03-05,2011-07-21
CS1359,0,1145,16,2015-02-24,2011-07-07
CS1360,0,1282,18,2015-02-02,2011-05-28
CS1361,0,1470,19,2015-02-27,2011-07-11
CS1362,0,1703,23,2015-03-10,2011-09-21
CS1363,0,1632,24,2014-08-27,2011-06-05
CS1364,0,1864,27,2015-01-09,2011-06-14
CS1365,0,1225,19,2015-02-27,2011-05-18
CS1366,0,1493,22,2015-02-17,2011-06-01
CS1367,0,2146,29,2015-01-08,2011-07-09
CS1368,0,960,15,2015-03-12,2011-07-05
CS1369,0,1746,25,2015-01-29,2011-06-14
CS1370,1,1864,26,2014-10-26,2011-10-12
CS1371,0,1496,22,2014-10-08,2011-05-17
CS1372,1,1412,19,2014-06-11,2011-06-24
CS1373,0,1967,30,2014-12-21,2011-07-02
CS1374,0,1357,19,2014-10-03,2011-06-07
CS1375,0,1165,17,2014-11-09,2011-09-07
CS1376,0,1512,25,2015-02-10,2011-10-01
CS1377,0,1505,18,2014-10-24,2011-06-24
CS1378,0,1671,25,2015-02-19,2011-09-25
CS1379,0,1134,15,2014-10-31,2011-05-29
CS1380,0,1857,26,2015-02-28,2011-08-28
CS1381,0,1449,22,2014-02-20,2011-05-22
CS1382,0,1845,25,2015-03-12,2011-08-30
CS1383,0,1878,25,2014-11-21,2011-05-29
CS1384,0,964,17,2015-03-04,2011-09-28
CS1385,1,1478,22,2015-03-11,2011-09-04
CS1386,0,998,14,2015-01-04,2011-09-30
CS1387,0,1238,18,2014-11-09,2011-05-17
CS1388,0,1275,19,2015-02-14,2011-07-29
CS1389,0,1189,18,2015-02-25,2011-05-20
CS1390,0,1210,19,2015-01-31,2011-07-11
CS1391,0,1584,25,2015-03-12,2011-05-17
CS1392,0,1227,17,2015-01-01,2011-06-23
CS1393,1,1437,19,2014-12-07,2011-06-14
CS1394,0,2046,28,2015-03-11,2011-06-11
CS1395,0,1704,22,2015-03-02,2011-05-19
CS1396,0,1852,25,2015-02-13,2011-05-25
CS1397,0,2156,30,2014-10-01,2011-06-30
CS1398,1,1354,20,2015-02-15,2011-08-23
CS1399,1,1832,26,2015-02-21,2011-11-03
CS1400,1,1193,18,2014-12-30,2011-06-24
CS1401,0,2023,30,2015-03-02,2011-12-13
CS1402,0,1660,22,2015-02-14,2011-06-04
CS1403,1,1652,22,2015-02-01,2011-11-09
CS1404,0,1900,28,2015-01-25,2011-05-20
CS1405,0,1943,26,2015-02-25,2011-08-03
CS1406,0,1842,27,2015-03-02,2011-05-20
CS1407,1,1916,28,2015-03-03,2011-09-26
CS1408,0,1214,17,2014-07-18,2011-09-17
CS1409,0,1464,24,2014-12-20,2011-08-21
CS1410,0,1160,15,2015-01-16,2011-07-07
CS1411,0,1222,17,2015-01-19,2011-06-05
CS1412,1,1599,22,2015-03-01,2011-05-19
CS1413,0,1396,19,2015-01-16,2011-06-22
CS1414,0,1437,20,2014-10-14,2011-05-31
CS1415,0,1752,27,2015-01-01,2011-07-02
CS1416,0,1513,20,2015-03-04,2011-07-07
CS1417,0,1076,15,2015-01-25,2011-07-12
CS1418,0,1053,14,2014-10-17,2011-10-14
CS1419,0,1915,27,2015-03-16,2011-08-23
CS1420,1,1923,25,2014-12-25,2011-06-15
CS1421,0,1896,27,2015-01-16,2011-05-25
CS1422,0,1211,15,2015-03-11,2011-11-24
CS1423,0,1182,20,2015-01-20,2011-07-12
CS1424,0,1753,24,2015-03-06,2011-06-29
CS1425,0,1688,23,2015-01-04,2011-07-31
CS1426,0,1538,21,2015-02-23,2011-06-25
CS1427,0,985,15,2015-03-09,2011-06-16
CS1428,1,1948,25,2014-12-21,2011-06-10
CS1429,0,1261,18,2014-11-04,2011-06-27
CS1430,0,1440,21,2015-03-03,2011-07-01
CS1431,0,1257,18,2015-03-04,2011-07-11
CS1432,0,1362,19,2015-03-13,2011-06-08
CS1433,0,1468,20,2015-02-05,2011-06-08
CS1434,0,1758,27,2015-03-05,2011-05-23
CS1435,0,1700,25,2015-01-29,2011-05-26
CS1436,0,977,14,2015-01-16,2011-05-17
CS1437,0,880,12,2015-02-16,2011-10-28
CS1438,0,1374,20,2015-02-08,2011-08-31
CS1439,0,1160,16,2015-02-10,2011-07-27
CS1440,0,1577,22,2014-12-05,2011-09-20
CS1441,0,1351,20,2015-01-07,2011-08-28
CS1442,0,1225,20,2015-03-08,2011-05-31
CS1443,1,1876,24,2015-01-22,2011-06-18
CS1444,0,1756,23,2015-02-09,2011-06-27
CS1445,0,1526,23,2015-03-14,2011-05-16
CS1446,0,991,15,2015-03-03,2011-06-19
CS1447,0,1001,14,2015-03-11,2011-11-04
CS1448,0,1239,16,2015-02-05,2011-06-07
CS1449,0,1402,20,2015-03-14,2011-07-15
CS1450,0,1251,20,2015-02-20,2011-05-22
CS1451,0,1715,22,2015-02-24,2011-06-09
CS1452,0,941,15,2014-11-28,2011-06-01
CS1453,0,1640,22,2014-11-04,2011-10-02
CS1454,0,1126,17,2015-02-24,2011-05-22
CS1455,0,1301,18,2015-03-14,2011-08-02
CS1456,0,1363,20,2014-08-24,2011-06-16
CS1457,0,929,15,2014-12-15,2011-06-24
CS1458,0,1422,20,2015-03-11,2011-08-14
CS1459,1,1627,24,2014-11-12,2011-07-16
CS1460,0,1185,18,2015-02-03,2011-07-11
CS1461,0,1567,23,2015-02-17,2011-05-19
CS1462,1,1616,24,2015-01-27,2011-09-05
CS1463,0,1807,27,2014-11-08,2011-06-01
CS1464,0,1613,21,2014-07-23,2011-12-07
CS1465,0,1631,22,2015-03-14,2011-06-24
CS1466,0,1190,17,2015-02-22,2011-07-19
CS1467,0,1233,18,2014-08-10,2011-06-27
CS1468,0,1412,21,2015-03-07,2011-08-11
CS1469,0,1387,19,2015-03-07,2011-08-06
CS1470,0,1649,22,2015-01-23,2012-02-03
CS1471,0,1325,20,2015-03-12,2011-07-23
CS1472,0,1241,19,2015-03-08,2011-06-03
CS1473,1,1695,25,2015-03-13,2011-08-23
CS1474,0,1487,21,2014-12-17,2011-06-15
CS1475,0,1197,18,2015-01-20,2011-05-24
CS1476,0,1430,20,2014-12-29,2011-08-01
CS1477,0,1185,18,2015-03-03,2011-05-25
CS1478,0,1300,19,2014-12-16,2011-05-25
CS1479,0,1567,20,2015-01-18,2011-07-09
CS1480,0,1251,17,2014-12-24,2011-05-19
CS1481,0,876,13,2013-12-23,2011-06-10
CS1482,0,732,12,2015-02-08,2011-10-22
CS1483,0,1774,24,2015-01-01,2011-09-12
CS1484,0,1221,16,2014-12-07,2011-06-06
CS1485,0,1814,25,2015-02-22,2011-06-23
CS1486,0,1377,19,2015-01-27,2011-05-19
CS1487,0,599,10,2015-02-16,2011-07-09
CS1488,0,1595,23,2015-03-03,2011-07-19
CS1489,0,950,15,2015-02-11,2011-11-18
CS1490,0,1788,25,2015-02-21,2011-06-06
CS1491,0,1244,17,2014-12-19,2011-05-31
CS1492,0,1358,19,2015-02-07,2011-08-10
CS1493,0,1531,21,2015-03-11,2011-11-21
CS1494,0,1502,21,2014-11-18,2011-05-26
CS1495,0,1138,17,2015-02-26,2011-06-01
CS1496,0,1222,18,2015-02-21,2011-07-07
CS1497,0,1445,20,2015-03-09,2011-08-08
CS1498,0,1519,22,2015-01-19,2011-09-02
CS1499,0,1879,26,2015-01-30,2011-08-09
CS1500,0,983,15,2014-10-03,2012-04-24
CS1501,0,1965,26,2015-02-09,2011-05-16
CS1502,0,1613,22,2015-03-11,2011-09-13
CS1503,0,1927,27,2015-03-15,2011-05-30
CS1504,0,825,13,2015-01-31,2011-05-24
CS1505,0,1703,25,2015-01-23,2011-06-01
CS1506,0,1307,18,2014-12-30,2011-07-08
CS1507,0,1280,21,2015-02-25,2011-05-18
CS1508,0,1933,28,2015-03-02,2011-10-15
CS1509,0,1383,20,2014-10-21,2011-05-25
CS1510,0,1792,26,2015-03-13,2011-06-10
CS1511,0,1253,18,2015-01-25,2011-05-26
CS1512,0,1239,20,2015-02-21,2012-01-14
CS1513,0,1444,22,2014-11-30,2011-08-27
CS1514,0,1046,16,2014-10-06,2011-08-27
CS1515,0,1742,22,2015-03-02,2011-05-18
CS1516,0,1308,18,2014-12-05,2011-07-09
CS1517,0,1168,18,2014-12-21,2011-06-29
CS1518,0,1151,19,2014-11-12,2011-06-13
CS1519,0,962,15,2015-03-05,2011-09-08
CS1520,0,1162,18,2015-03-13,2011-06-29
CS1521,0,671,9,2014-09-03,2011-08-22
CS1522,0,894,14,2014-12-10,2011-05-24
CS1523,0,928,15,2014-08-13,2011-06-21
CS1524,0,1075,17,2014-11-06,2011-12-28
CS1525,0,1215,17,2015-02-17,2011-05-21
CS1526,0,1324,19,2015-02-13,2011-06-24
CS1527,0,1187,19,2015-03-03,2011-06-29
CS1528,0,1660,24,2015-03-13,2011-08-12
CS1529,0,1823,25,2015-03-07,2011-06-25
CS1530,0,626,10,2014-07-08,2011-06-15
CS1531,0,1793,25,2015-02-09,2011-08-14
CS1532,0,1140,17,2014-06-06,2011-08-03
CS1533,0,1606,23,2015-02-01,2011-09-12
CS1534,0,1379,20,2015-01-07,2011-06-05
CS1535,0,1904,24,2014-12-23,2011-07-14
CS1536,0,753,12,2015-02-09,2011-07-04
CS1537,0,1323,20,2015-03-11,2011-06-24
CS1538,0,1304,19,2015-03-14,2011-08-27
CS1539,1,1371,20,2015-02-19,2011-07-13
CS1540,0,1199,19,2015-02-06,2011-06-13
CS1541,1,2273,30,2014-10-26,2011-11-28
CS1542,0,1808,27,2014-09-27,2011-06-24
CS1543,0,948,12,2015-03-15,2011-08-31
CS1544,1,1334,19,2015-01-22,2011-06-25
CS1545,0,1935,28,2015-02-23,2011-07-01
CS1546,0,1436,18,2014-08-29,2011-06-11
CS1547,0,1600,22,2015-02-19,2011-06-22
CS1548,0,1755,23,2015-02-27,2011-06-12
CS1549,0,1393,20,2015-02-19,2011-12-13
CS1550,0,1583,22,2015-01-25,2011-07-25
CS1551,0,1300,18,2014-12-05,2011-06-27
CS1552,0,1604,22,2015-02-14,2011-12-11
CS1553,1,1444,20,2014-09-10,2011-05-20
CS1554,0,993,17,2014-10-26,2011-06-21
CS1555,0,1571,23,2015-01-13,2011-06-19
CS1556,0,1031,13,2015-02-22,2013-01-02
CS1557,0,1992,30,2015-02-03,2011-08-07
CS1558,0,1500,23,2015-02-25,2011-08-19
CS1559,0,1613,20,2015-03-10,2011-09-10
CS1560,0,1352,18,2015-01-26,2011-08-11
CS1561,0,1082,15,2015-03-15,2011-09-29
CS1562,0,711,12,2014-03-03,2011-08-06
CS1563,0,1108,17,2014-02-05,2011-06-27
CS1564,0,1304,16,2015-02-26,2011-08-22
CS1565,0,1147,17,2014-11-16,2011-05-27
CS1566,1,1491,21,2014-09-07,2011-05-21
CS1567,1,1465,19,2015-02-23,2011-05-22
CS1568,0,1604,20,2015-02-11,2011-05-31
CS1569,0,1074,15,2015-02-19,2011-09-28
CS1570,0,1782,25,2014-12-04,2011-06-27
CS1571,0,1503,20,2015-02-13,2011-06-06
CS1572,0,1085,15,2015-02-10,2011-07-02
CS1573,0,1539,19,2015-02-01,2011-07-07
CS1574,0,1018,18,2015-03-09,2011-05-27
CS1575,0,1611,26,2015-01-29,2011-08-30
CS1576,0,1074,16,2014-12-13,2011-11-21
CS1577,0,1525,21,2015-02-25,2011-06-14
CS1578,0,1125,16,2014-12-18,2011-06-05
CS1579,0,1433,20,2015-02-18,2011-06-07
CS1580,1,2329,33,2014-09-07,2011-07-12
CS1581,0,1501,23,2015-02-07,2011-06-12
CS1582,1,2009,27,2015-02-26,2011-05-23
CS1583,0,1919,25,2015-02-15,2011-06-14
CS1584,0,1512,21,2015-03-02,2011-07-07
CS1585,0,1167,19,2014-12-13,2011-08-05
CS1586,0,1441,20,2015-01-02,2011-06-26
CS1587,0,1900,27,2015-02-07,2011-05-19
CS1588,0,1591,25,2015-03-07,2011-05-17
CS1589,0,1151,15,2015-03-01,2011-07-11
CS1590,0,964,16,2014-10-13,2011-06-05
CS1591,0,1144,18,2014-10-13,2011-08-12
CS1592,0,1215,19,2015-02-10,2011-07-18
CS1593,0,1406,20,2015-02-20,2011-10-03
CS1594,0,901,13,2015-02-21,2011-07-05
CS1595,0,648,10,2014-11-30,2011-08-07
CS1596,0,1342,19,2015-02-26,2011-07-01
CS1597,0,1611,23,2015-01-09,2011-06-06
CS1598,0,1289,20,2015-02-05,2011-05-31
CS1599,0,1028,15,2015-01-18,2011-07-21
CS1600,0,1331,20,2015-02-25,2011-06-14
CS1601,0,1787,27,2014-12-27,2011-06-16
CS1602,0,1401,20,2015-02-18,2011-08-29
CS1603,0,1374,19,2014-11-11,2011-07-15
CS1604,0,1950,28,2015-03-01,2011-05-25
CS1605,0,1685,27,2015-02-28,2011-07-05
CS1606,0,781,13,2015-03-14,2012-01-13
CS1607,0,1384,19,2015-01-14,2011-05-29
CS1608,0,973,14,2015-01-26,2011-06-02
CS1609,0,1375,20,2014-10-30,2011-07-17
CS1610,0,1326,19,2015-02-12,2011-05-18
CS1611,0,1794,23,2014-07-01,2011-06-05
CS1612,0,1759,26,2015-02-25,2011-05-20
CS1613,0,1347,21,2014-11-09,2011-06-06
CS1614,0,1568,22,2015-03-06,2011-06-25
CS1615,1,1419,20,2015-03-13,2011-10-25
CS1616,0,1434,19,2015-03-06,2011-06-14
CS1617,0,1784,27,2014-12-02,2011-09-02
CS1618,0,887,13,2014-09-22,2011-09-06
CS1619,1,1323,21,2015-03-05,2011-07-16
CS1620,0,1320,16,2014-05-20,2012-04-04
CS1621,0,1894,26,2015-02-23,2011-12-14
CS1622,1,1360,20,2015-03-16,2011-06-14
CS1623,0,1777,26,2015-02-28,2011-09-07
CS1624,0,1832,25,2015-02-05,2011-06-27
CS1625,0,950,14,2015-03-11,2011-08-29
CS1626,0,1172,17,2015-01-14,2011-07-04
CS1627,0,1043,16,2014-12-29,2011-08-04
CS1628,0,1456,21,2015-02-23,2011-06-12
CS1629,0,1394,22,2015-03-13,2011-09-12
CS1630,0,1393,20,2015-03-15,2011-06-10
CS1631,0,1223,18,2015-02-03,2011-07-29
CS1632,0,1187,17,2015-03-08,2011-09-28
CS1633,0,1763,26,2015-02-26,2011-07-03
CS1634,0,1044,15,2015-03-02,2011-06-26
CS1635,1,1573,23,2014-12-10,2011-07-09
CS1636,0,1347,19,2015-01-07,2011-06-13
CS1637,0,1496,22,2015-02-22,2011-08-26
CS1638,0,1035,15,2014-07-29,2011-06-30
CS1639,0,1619,23,2015-03-04,2012-02-22
CS1640,0,1232,19,2015-01-15,2011-09-05
CS1641,0,1232,17,2015-03-08,2011-07-21
CS1642,0,1672,24,2015-02-10,2011-08-08
CS1643,0,2087,27,2015-02-22,2011-10-25
CS1644,0,1542,22,2014-12-31,2011-05-24
CS1645,0,1412,19,2014-07-16,2011-05-20
CS1646,0,1185,17,2015-02-17,2011-07-13
CS1647,0,1401,21,2015-02-28,2011-09-24
CS1648,0,1776,24,2014-11-20,2011-05-24
CS1649,0,1197,16,2015-01-27,2011-05-21
