customer_id,trans_date,tran_amount,response,month,year,day_of_week
CS5489,2014-12-02,77,0,12,2014,Tuesday
CS4563,2011-05-30,101,0,5,2011,Monday
CS3508,2012-05-23,67,0,5,2012,Wednesday
CS2703,2014-10-12,40,1,10,2014,Sunday
CS2596,2013-05-01,76,0,5,2013,Wednesday
CS5990,2012-10-19,103,0,10,2012,Friday
CS4215,2011-07-09,54,0,7,2011,Saturday
CS4811,2012-01-26,77,1,1,2012,Thursday
CS2070,2013-01-30,41,0,1,2013,Wednesday
CS3419,2015-01-29,38,0,1,2015,Thursday
CS3668,2014-08-14,102,0,8,2014,Thursday
CS4623,2013-09-27,89,1,9,2013,Friday
CS4708,2013-07-02,48,0,7,2013,Tuesday
CS1816,2013-09-22,64,0,9,2013,Sunday
CS5376,2013-12-08,44,0,12,2013,Sunday
CS4568,2011-11-15,70,0,11,2011,Tuesday
CS1779,2012-01-27,53,0,1,2012,Friday
CS2447,2011-07-10,82,0,7,2011,Sunday
CS1985,2011-08-16,87,0,8,2011,Tuesday
CS2544,2011-11-07,64,0,11,2011,Monday
CS2158,2012-09-11,89,0,9,2012,Tuesday
CS5776,2014-09-09,87,0,9,2014,Tuesday
CS5653,2013-09-04,98,0,9,2013,Wednesday
CS2291,2014-10-15,67,0,10,2014,Wednesday
CS6088,2012-10-29,48,0,10,2012,Monday
CS4245,2014-06-02,102,0,6,2014,Monday
CS3344,2014-07-02,56,0,7,2014,Wednesday
CS1481,2013-12-23,50,0,12,2013,Monday
CS5400,2011-12-23,56,0,12,2011,Friday
CS5463,2014-08-27,91,0,8,2014,Wednesday
CS5951,2014-08-07,104,1,8,2014,Thursday
CS5515,2012-02-19,41,0,2,2012,Sunday
CS3039,2012-05-01,92,0,5,2012,Tuesday
CS1836,2012-03-24,63,0,3,2012,Saturday
CS4320,2014-04-09,52,1,4,2014,Wednesday
CS4889,2011-12-01,38,0,12,2011,Thursday
CS1319,2011-09-26,95,0,9,2011,Monday
CS4859,2015-01-07,50,1,1,2015,Wednesday
CS4148,2014-02-08,40,0,2,2014,Saturday
CS5264,2013-04-03,81,0,4,2013,Wednesday
CS4041,2014-12-29,49,0,12,2014,Monday
CS2183,2013-01-04,39,0,1,2013,Friday
CS2516,2015-02-15,55,0,2,2015,Sunday
CS1890,2012-11-03,37,0,11,2012,Saturday
CS3730,2013-02-11,89,1,2,2013,Monday
CS5382,2013-03-07,48,1,3,2013,Thursday
CS5970,2014-06-13,40,0,6,2014,Friday
CS5260,2015-01-30,46,1,1,2015,Friday
CS2437,2011-11-13,90,0,11,2011,Sunday
CS4675,2011-09-11,67,0,9,2011,Sunday
CS2920,2011-10-11,87,0,10,2011,Tuesday
CS2548,2013-09-28,73,1,9,2013,Saturday
CS1818,2011-12-26,46,0,12,2011,Monday
CS6098,2012-09-28,42,1,9,2012,Friday
CS2712,2011-12-26,65,0,12,2011,Monday
CS2714,2011-12-14,69,0,12,2011,Wednesday
CS2615,2013-08-17,39,0,8,2013,Saturday
CS5445,2014-07-27,72,0,7,2014,Sunday
CS5812,2014-11-02,62,0,11,2014,Sunday
CS4636,2013-09-22,66,0,9,2013,Sunday
CS3147,2014-06-04,84,1,6,2014,Wednesday
CS1273,2012-02-01,91,0,2,2012,Wednesday
CS4243,2011-11-11,48,0,11,2011,Friday
CS2357,2012-04-13,71,0,4,2012,Friday
CS1776,2014-05-03,79,0,5,2014,Saturday
CS5643,2013-03-02,104,0,3,2013,Saturday
CS4522,2015-03-06,82,0,3,2015,Friday
CS2418,2015-02-01,51,0,2,2015,Sunday
CS1330,2014-11-21,41,0,11,2014,Friday
CS1195,2014-12-29,83,0,12,2014,Monday
CS4306,2015-03-07,54,0,3,2015,Saturday
CS2137,2013-09-29,73,0,9,2013,Sunday
CS3518,2013-06-19,54,0,6,2013,Wednesday
CS5835,2011-09-18,52,1,9,2011,Sunday
CS4701,2015-01-15,95,0,1,2015,Thursday
CS4548,2012-06-28,38,0,6,2012,Thursday
CS2384,2012-10-15,35,0,10,2012,Monday
CS4081,2013-02-17,74,0,2,2013,Sunday
CS5976,2012-01-02,99,0,1,2012,Monday
CS3874,2011-09-08,44,0,9,2011,Thursday
CS5356,2014-06-17,105,1,6,2014,Tuesday
CS4667,2014-09-17,66,0,9,2014,Wednesday
CS4328,2012-06-04,56,0,6,2012,Monday
CS3291,2013-08-02,42,0,8,2013,Friday
CS4282,2011-09-11,44,0,9,2011,Sunday
CS4331,2011-09-25,70,0,9,2011,Sunday
CS1243,2013-03-17,36,0,3,2013,Sunday
CS2390,2014-05-20,104,0,5,2014,Tuesday
CS2207,2014-04-05,71,0,4,2014,Saturday
CS1270,2011-11-18,104,0,11,2011,Friday
CS1219,2014-11-11,91,0,11,2014,Tuesday
CS5427,2012-11-13,96,1,11,2012,Tuesday
CS5474,2011-05-18,69,0,5,2011,Wednesday
CS5109,2012-05-23,92,0,5,2012,Wednesday
CS5287,2015-03-14,94,0,3,2015,Saturday
CS3477,2013-05-05,80,0,5,2013,Sunday
CS3970,2011-12-13,86,0,12,2011,Tuesday
CS5760,2011-12-08,59,0,12,2011,Thursday
CS2149,2013-04-04,83,0,4,2013,Thursday
CS4934,2014-07-19,80,1,7,2014,Saturday
CS1517,2013-10-18,89,0,10,2013,Friday
CS1641,2012-12-29,64,0,12,2012,Saturday
CS2187,2011-11-19,70,0,11,2011,Saturday
CS5359,2014-08-12,96,0,8,2014,Tuesday
CS3124,2011-12-08,71,0,12,2011,Thursday
CS1721,2012-08-30,96,0,8,2012,Thursday
CS5212,2015-01-22,42,0,1,2015,Thursday
CS5111,2011-08-23,81,1,8,2011,Tuesday
CS3137,2012-04-04,67,0,4,2012,Wednesday
CS1511,2015-01-25,69,0,1,2015,Sunday
CS2509,2014-02-23,92,0,2,2014,Sunday
CS5994,2014-01-11,42,0,1,2014,Saturday
CS2613,2013-08-25,103,0,8,2013,Sunday
CS1934,2014-08-18,89,0,8,2014,Monday
CS3127,2011-10-02,39,0,10,2011,Sunday
CS5225,2014-03-18,104,1,3,2014,Tuesday
CS1815,2012-11-17,83,0,11,2012,Saturday
CS3552,2014-04-27,102,0,4,2014,Sunday
CS1893,2013-11-17,42,0,11,2013,Sunday
CS3621,2013-10-26,56,0,10,2013,Saturday
CS4330,2013-07-17,59,0,7,2013,Wednesday
CS4991,2013-07-20,90,0,7,2013,Saturday
CS2312,2013-10-22,37,0,10,2013,Tuesday
CS2359,2012-06-04,90,1,6,2012,Monday
CS4798,2012-12-06,84,1,12,2012,Thursday
CS2507,2012-06-28,94,0,6,2012,Thursday
CS1430,2014-09-02,71,0,9,2014,Tuesday
CS3787,2013-10-23,48,0,10,2013,Wednesday
CS4103,2013-04-14,89,0,4,2013,Sunday
CS2881,2012-09-24,54,0,9,2012,Monday
CS1854,2011-09-29,74,0,9,2011,Thursday
CS2863,2012-12-23,102,0,12,2012,Sunday
CS5292,2013-09-04,64,1,9,2013,Wednesday
CS3184,2012-01-07,88,0,1,2012,Saturday
CS2049,2013-10-07,66,0,10,2013,Monday
CS2832,2013-07-16,105,0,7,2013,Tuesday
CS2251,2013-04-12,99,0,4,2013,Friday
CS5667,2014-02-25,66,0,2,2014,Tuesday
CS1327,2012-02-19,38,0,2,2012,Sunday
CS4927,2013-08-12,37,0,8,2013,Monday
CS2302,2012-09-09,100,0,9,2012,Sunday
CS3901,2012-09-11,82,0,9,2012,Tuesday
CS5762,2013-04-21,85,0,4,2013,Sunday
CS2289,2012-03-13,89,0,3,2012,Tuesday
CS2867,2012-02-09,56,1,2,2012,Thursday
CS2359,2014-08-10,87,1,8,2014,Sunday
CS5814,2011-12-12,72,1,12,2011,Monday
CS5129,2011-06-21,102,0,6,2011,Tuesday
CS2597,2012-06-03,42,0,6,2012,Sunday
CS5838,2012-09-01,96,0,9,2012,Saturday
CS5800,2012-04-23,86,0,4,2012,Monday
CS3786,2013-07-16,66,0,7,2013,Tuesday
CS3659,2012-05-19,77,0,5,2012,Saturday
CS4400,2011-09-03,97,0,9,2011,Saturday
CS3026,2012-06-03,55,0,6,2012,Sunday
CS3632,2013-02-10,72,0,2,2013,Sunday
CS1452,2012-03-23,79,0,3,2012,Friday
CS5140,2014-07-11,97,0,7,2014,Friday
CS5383,2013-12-29,73,0,12,2013,Sunday
CS4695,2013-09-17,48,0,9,2013,Tuesday
CS2368,2012-08-10,66,0,8,2012,Friday
CS2066,2011-07-15,51,0,7,2011,Friday
CS5277,2011-07-12,90,1,7,2011,Tuesday
CS3025,2011-12-30,72,1,12,2011,Friday
CS4802,2011-06-25,45,0,6,2011,Saturday
CS6001,2014-02-16,63,0,2,2014,Sunday
CS3981,2014-09-20,74,0,9,2014,Saturday
CS3885,2014-04-29,56,0,4,2014,Tuesday
CS5546,2012-08-28,79,0,8,2012,Tuesday
CS4964,2014-05-20,79,0,5,2014,Tuesday
CS4881,2014-01-21,55,0,1,2014,Tuesday
CS4103,2014-03-02,40,0,3,2014,Sunday
CS5884,2012-12-19,97,0,12,2012,Wednesday
CS2765,2013-04-18,88,0,4,2013,Thursday
CS4438,2014-07-05,72,1,7,2014,Saturday
CS2234,2014-12-21,36,0,12,2014,Sunday
CS3015,2014-01-30,58,0,1,2014,Thursday
CS3755,2015-01-01,45,0,1,2015,Thursday
CS3927,2014-03-25,77,1,3,2014,Tuesday
CS5799,2012-11-08,101,0,11,2012,Thursday
CS5708,2011-06-03,89,0,6,2011,Friday
CS3695,2013-04-20,51,0,4,2013,Saturday
CS1969,2014-10-23,39,0,10,2014,Thursday
CS3854,2014-11-09,104,1,11,2014,Sunday
CS3416,2015-02-23,57,0,2,2015,Monday
CS1414,2013-12-01,104,0,12,2013,Sunday
CS4732,2013-03-27,96,0,3,2013,Wednesday
CS2493,2012-12-29,85,0,12,2012,Saturday
CS5851,2013-01-19,98,0,1,2013,Saturday
CS1678,2014-05-09,48,0,5,2014,Friday
CS2049,2013-03-19,36,0,3,2013,Tuesday
CS3676,2011-09-27,43,0,9,2011,Tuesday
CS4853,2012-03-27,68,0,3,2012,Tuesday
CS4292,2014-03-04,98,0,3,2014,Tuesday
CS3152,2014-12-15,40,0,12,2014,Monday
CS5640,2014-01-13,77,0,1,2014,Monday
CS5857,2012-09-26,85,0,9,2012,Wednesday
CS1472,2014-04-12,72,0,4,2014,Saturday
CS3888,2012-02-22,70,0,2,2012,Wednesday
CS5563,2013-06-23,70,0,6,2013,Sunday
CS5104,2012-09-17,99,0,9,2012,Monday
CS6109,2013-11-01,92,0,11,2013,Friday
CS2352,2014-10-06,62,1,10,2014,Monday
CS4024,2014-02-01,39,0,2,2014,Saturday
CS1499,2011-12-24,91,0,12,2011,Saturday
CS3071,2012-09-15,39,0,9,2012,Saturday
CS5638,2014-12-16,58,0,12,2014,Tuesday
CS5533,2013-05-16,73,0,5,2013,Thursday
CS1961,2012-03-29,75,0,3,2012,Thursday
CS1707,2011-09-15,105,0,9,2011,Thursday
CS3692,2014-09-17,48,0,9,2014,Wednesday
CS1275,2011-12-28,102,0,12,2011,Wednesday
CS4738,2013-03-20,37,0,3,2013,Wednesday
CS3732,2011-06-12,83,1,6,2011,Sunday
CS5676,2013-12-16,44,0,12,2013,Monday
CS4111,2012-07-26,54,0,7,2012,Thursday
CS2074,2015-01-05,79,0,1,2015,Monday
CS5815,2015-01-03,92,0,1,2015,Saturday
CS5094,2015-03-07,84,0,3,2015,Saturday
CS5431,2013-01-05,55,0,1,2013,Saturday
CS4540,2014-08-13,55,1,8,2014,Wednesday
CS1891,2013-03-25,84,0,3,2013,Monday
CS4389,2013-03-22,70,1,3,2013,Friday
CS4412,2012-01-07,47,0,1,2012,Saturday
CS1697,2014-07-13,98,0,7,2014,Sunday
CS2720,2012-04-11,72,0,4,2012,Wednesday
CS1152,2012-08-04,71,0,8,2012,Saturday
CS3796,2013-09-14,37,0,9,2013,Saturday
CS6066,2013-08-23,66,0,8,2013,Friday
CS2643,2014-07-20,69,0,7,2014,Sunday
CS6056,2014-03-22,104,0,3,2014,Saturday
CS3489,2013-01-09,76,0,1,2013,Wednesday
CS5229,2011-11-23,58,0,11,2011,Wednesday
CS4649,2014-12-16,93,0,12,2014,Tuesday
CS4372,2014-08-27,71,0,8,2014,Wednesday
CS1790,2012-10-04,100,0,10,2012,Thursday
CS1475,2012-08-20,73,0,8,2012,Monday
CS2452,2014-04-05,77,0,4,2014,Saturday
CS2781,2011-06-02,51,0,6,2011,Thursday
CS5260,2014-09-25,89,1,9,2014,Thursday
CS5155,2011-12-25,100,0,12,2011,Sunday
CS1582,2014-05-24,46,1,5,2014,Saturday
CS4757,2011-08-19,81,0,8,2011,Friday
CS6039,2013-10-05,104,0,10,2013,Saturday
CS1580,2012-11-18,87,1,11,2012,Sunday
CS3815,2011-07-05,54,0,7,2011,Tuesday
CS6063,2013-04-13,104,0,4,2013,Saturday
CS2226,2014-10-29,104,0,10,2014,Wednesday
CS5367,2015-01-08,77,1,1,2015,Thursday
CS4581,2013-06-04,95,0,6,2013,Tuesday
CS5004,2014-12-21,59,0,12,2014,Sunday
CS2164,2013-08-06,35,0,8,2013,Tuesday
CS4590,2014-05-31,79,0,5,2014,Saturday
CS4600,2011-10-03,50,0,10,2011,Monday
CS2122,2012-02-20,90,0,2,2012,Monday
CS3060,2012-08-24,59,0,8,2012,Friday
CS2217,2013-04-19,85,0,4,2013,Friday
CS4288,2014-04-21,68,0,4,2014,Monday
CS1568,2013-05-10,104,0,5,2013,Friday
CS3442,2014-09-16,39,0,9,2014,Tuesday
CS4883,2013-12-24,39,0,12,2013,Tuesday
CS4911,2012-02-17,75,0,2,2012,Friday
CS1533,2012-07-25,86,0,7,2012,Wednesday
CS3103,2014-05-07,59,0,5,2014,Wednesday
CS2185,2012-01-29,46,0,1,2012,Sunday
CS4094,2013-07-24,100,0,7,2013,Wednesday
CS4354,2012-12-29,62,1,12,2012,Saturday
CS1939,2012-07-25,46,0,7,2012,Wednesday
CS5516,2012-12-04,75,0,12,2012,Tuesday
CS5664,2013-11-02,95,0,11,2013,Saturday
CS5068,2014-11-07,41,0,11,2014,Friday
CS4376,2014-10-13,49,0,10,2014,Monday
CS5825,2011-10-22,61,0,10,2011,Saturday
CS1871,2012-01-16,64,0,1,2012,Monday
CS5046,2015-02-06,86,1,2,2015,Friday
CS1259,2013-06-30,64,1,6,2013,Sunday
CS5664,2011-09-11,58,0,9,2011,Sunday
CS2986,2011-07-20,67,0,7,2011,Wednesday
CS5510,2013-09-02,99,0,9,2013,Monday
CS2845,2013-01-10,73,0,1,2013,Thursday
CS4077,2012-07-22,90,0,7,2012,Sunday
CS3466,2013-11-04,71,0,11,2013,Monday
CS1508,2013-10-25,101,0,10,2013,Friday
CS2469,2014-07-19,93,0,7,2014,Saturday
CS2767,2015-01-03,105,0,1,2015,Saturday
CS5790,2012-03-17,58,0,3,2012,Saturday
CS1710,2013-06-10,100,0,6,2013,Monday
CS2554,2011-10-05,100,0,10,2011,Wednesday
CS5283,2015-02-05,63,0,2,2015,Thursday
CS4050,2014-08-30,63,0,8,2014,Saturday
CS5975,2012-09-08,77,0,9,2012,Saturday
CS4227,2012-10-16,74,0,10,2012,Tuesday
CS5983,2011-05-20,47,0,5,2011,Friday
CS2490,2013-12-04,70,0,12,2013,Wednesday
CS1696,2012-12-25,51,1,12,2012,Tuesday
CS3209,2014-02-25,82,0,2,2014,Tuesday
CS2942,2013-01-08,62,0,1,2013,Tuesday
CS4981,2011-10-16,93,0,10,2011,Sunday
CS1397,2014-03-26,77,0,3,2014,Wednesday
CS1903,2013-04-15,92,0,4,2013,Monday
CS3754,2013-11-30,77,0,11,2013,Saturday
CS4763,2011-12-12,78,0,12,2011,Monday
CS4413,2015-01-17,38,0,1,2015,Saturday
CS2333,2011-08-13,99,0,8,2011,Saturday
CS2798,2012-05-30,100,0,5,2012,Wednesday
CS5033,2011-12-13,96,0,12,2011,Tuesday
CS1420,2014-09-09,99,1,9,2014,Tuesday
CS5132,2011-09-14,74,0,9,2011,Wednesday
CS3058,2012-09-03,74,0,9,2012,Monday
CS3692,2013-09-22,42,0,9,2013,Sunday
CS2463,2012-09-29,55,0,9,2012,Saturday
CS5209,2011-11-11,35,0,11,2011,Friday
CS4581,2013-11-16,53,0,11,2013,Saturday
CS3424,2013-12-02,85,0,12,2013,Monday
CS3207,2013-06-27,86,1,6,2013,Thursday
CS5763,2013-01-23,56,0,1,2013,Wednesday
CS5772,2012-01-18,97,0,1,2012,Wednesday
CS3673,2013-04-29,85,0,4,2013,Monday
CS2887,2012-03-02,100,0,3,2012,Friday
CS1596,2011-08-28,66,0,8,2011,Sunday
CS4299,2012-06-17,37,0,6,2012,Sunday
CS1492,2014-02-06,82,0,2,2014,Thursday
CS2313,2014-04-10,40,0,4,2014,Thursday
CS5385,2014-04-25,83,0,4,2014,Friday
CS3441,2013-11-03,43,0,11,2013,Sunday
CS4701,2014-07-26,53,0,7,2014,Saturday
CS1746,2013-06-21,103,1,6,2013,Friday
CS3276,2013-07-27,65,0,7,2013,Saturday
CS2555,2012-05-20,50,0,5,2012,Sunday
CS2569,2014-04-29,37,0,4,2014,Tuesday
CS3426,2014-05-01,67,0,5,2014,Thursday
CS3052,2013-11-17,67,1,11,2013,Sunday
CS1993,2013-08-08,68,0,8,2013,Thursday
CS4908,2014-09-27,78,0,9,2014,Saturday
CS3021,2014-02-10,43,0,2,2014,Monday
CS4424,2013-05-16,82,0,5,2013,Thursday
CS4841,2013-05-23,74,0,5,2013,Thursday
CS3486,2012-11-19,75,0,11,2012,Monday
CS2218,2011-10-11,78,0,10,2011,Tuesday
CS4779,2012-04-29,53,1,4,2012,Sunday
CS4226,2013-04-19,100,0,4,2013,Friday
CS1653,2011-08-30,53,1,8,2011,Tuesday
CS2533,2012-03-30,99,0,3,2012,Friday
CS2905,2012-07-29,47,0,7,2012,Sunday
CS5169,2013-01-25,64,0,1,2013,Friday
CS5142,2012-11-25,64,0,11,2012,Sunday
CS4390,2014-07-02,43,0,7,2014,Wednesday
CS5668,2014-02-27,91,0,2,2014,Thursday
CS2896,2013-01-14,71,0,1,2013,Monday
CS5156,2013-10-02,58,0,10,2013,Wednesday
CS4200,2012-08-12,67,0,8,2012,Sunday
CS4391,2014-09-07,67,1,9,2014,Sunday
CS5408,2013-07-22,78,0,7,2013,Monday
CS6019,2013-10-25,84,1,10,2013,Friday
CS3981,2012-07-25,40,0,7,2012,Wednesday
CS5925,2013-06-20,66,0,6,2013,Thursday
CS3964,2013-11-14,105,0,11,2013,Thursday
CS4688,2013-05-20,101,0,5,2013,Monday
CS1343,2012-06-02,57,0,6,2012,Saturday
CS6024,2012-10-14,45,0,10,2012,Sunday
CS2816,2011-12-18,84,0,12,2011,Sunday
CS2434,2012-05-20,41,1,5,2012,Sunday
CS6018,2012-05-18,96,0,5,2012,Friday
CS2072,2012-07-07,63,0,7,2012,Saturday
CS2897,2013-12-03,83,0,12,2013,Tuesday
CS1680,2013-10-14,81,0,10,2013,Monday
CS1638,2013-08-05,84,0,8,2013,Monday
CS1165,2012-04-12,101,0,4,2012,Thursday
CS4593,2012-01-04,84,0,1,2012,Wednesday
CS3414,2011-11-13,46,0,11,2011,Sunday
CS2252,2013-02-28,58,0,2,2013,Thursday
CS3598,2013-07-30,54,0,7,2013,Tuesday
CS3642,2014-05-19,62,1,5,2014,Monday
CS5948,2014-07-10,71,0,7,2014,Thursday
CS5582,2014-05-23,96,0,5,2014,Friday
CS6107,2011-07-23,70,0,7,2011,Saturday
CS5201,2011-07-02,79,0,7,2011,Saturday
CS1639,2013-05-05,51,0,5,2013,Sunday
CS5884,2012-11-20,52,0,11,2012,Tuesday
CS3515,2014-07-07,81,0,7,2014,Monday
CS2332,2013-08-29,66,0,8,2013,Thursday
CS5628,2014-12-16,94,0,12,2014,Tuesday
CS4830,2012-04-13,78,0,4,2012,Friday
CS1673,2012-01-04,92,0,1,2012,Wednesday
CS4993,2011-06-01,86,0,6,2011,Wednesday
CS2603,2013-07-01,58,1,7,2013,Monday
CS1800,2013-11-20,72,0,11,2013,Wednesday
CS3911,2012-06-09,83,0,6,2012,Saturday
CS5465,2011-12-05,77,0,12,2011,Monday
CS2373,2012-03-29,105,0,3,2012,Thursday
CS1241,2013-03-06,104,0,3,2013,Wednesday
CS4244,2013-02-15,48,0,2,2013,Friday
CS5233,2013-06-05,73,0,6,2013,Wednesday
CS5405,2013-12-04,87,0,12,2013,Wednesday
CS4115,2011-11-30,73,1,11,2011,Wednesday
CS4283,2011-12-23,76,0,12,2011,Friday
CS4420,2014-05-28,93,0,5,2014,Wednesday
CS4779,2013-05-08,41,1,5,2013,Wednesday
CS2567,2011-07-15,93,0,7,2011,Friday
CS3629,2014-09-30,68,0,9,2014,Tuesday
CS2026,2013-08-25,66,1,8,2013,Sunday
CS4338,2013-07-05,58,0,7,2013,Friday
CS4142,2012-05-20,100,0,5,2012,Sunday
CS2837,2012-11-10,88,0,11,2012,Saturday
CS1625,2013-11-05,104,0,11,2013,Tuesday
CS4873,2012-11-20,83,0,11,2012,Tuesday
CS3376,2012-08-28,39,0,8,2012,Tuesday
CS4311,2012-02-27,35,1,2,2012,Monday
CS1396,2012-09-25,86,0,9,2012,Tuesday
CS3779,2014-01-29,92,0,1,2014,Wednesday
CS1997,2012-10-09,87,0,10,2012,Tuesday
CS4540,2012-05-17,72,1,5,2012,Thursday
CS5299,2012-12-22,90,0,12,2012,Saturday
CS2253,2012-11-21,99,0,11,2012,Wednesday
CS6066,2014-03-17,102,0,3,2014,Monday
CS6077,2012-11-22,44,0,11,2012,Thursday
CS3300,2014-12-28,86,0,12,2014,Sunday
CS5922,2012-03-31,95,1,3,2012,Saturday
CS6009,2014-03-13,39,1,3,2014,Thursday
CS5064,2013-02-19,97,0,2,2013,Tuesday
CS2399,2014-04-21,77,0,4,2014,Monday
CS5547,2012-09-27,73,1,9,2012,Thursday
CS5114,2012-09-23,96,0,9,2012,Sunday
CS3908,2011-11-10,83,1,11,2011,Thursday
CS4194,2013-04-24,92,0,4,2013,Wednesday
CS5342,2012-10-15,82,0,10,2012,Monday
CS5425,2012-08-04,90,0,8,2012,Saturday
CS1991,2014-09-29,94,0,9,2014,Monday
CS2693,2013-08-27,61,0,8,2013,Tuesday
CS5076,2015-01-31,63,1,1,2015,Saturday
CS3177,2011-06-08,87,0,6,2011,Wednesday
CS2809,2012-06-02,60,1,6,2012,Saturday
CS3864,2013-12-06,56,0,12,2013,Friday
CS2515,2011-12-11,51,1,12,2011,Sunday
CS4487,2011-08-25,100,0,8,2011,Thursday
CS3108,2011-08-20,87,0,8,2011,Saturday
CS1133,2014-07-28,91,0,7,2014,Monday
CS5919,2012-03-04,97,0,3,2012,Sunday
CS6067,2012-09-04,44,0,9,2012,Tuesday
CS4893,2013-10-24,66,0,10,2013,Thursday
CS5750,2014-03-25,48,0,3,2014,Tuesday
CS1445,2011-11-13,88,0,11,2011,Sunday
CS1710,2011-10-26,52,0,10,2011,Wednesday
CS1927,2013-12-23,97,0,12,2013,Monday
CS5719,2011-07-10,40,1,7,2011,Sunday
CS2591,2014-01-29,69,0,1,2014,Wednesday
CS2416,2013-02-13,59,0,2,2013,Wednesday
CS1347,2013-02-10,74,0,2,2013,Sunday
CS3073,2015-02-13,95,0,2,2015,Friday
CS3590,2013-10-23,104,0,10,2013,Wednesday
CS4099,2014-05-29,67,0,5,2014,Thursday
CS4109,2012-08-21,40,0,8,2012,Tuesday
CS6072,2011-12-20,82,0,12,2011,Tuesday
CS3266,2012-11-17,51,0,11,2012,Saturday
CS1433,2014-12-22,72,0,12,2014,Monday
CS5499,2011-06-23,59,0,6,2011,Thursday
CS1533,2012-07-20,85,0,7,2012,Friday
CS5405,2012-04-21,91,0,4,2012,Saturday
CS4971,2013-05-28,83,0,5,2013,Tuesday
CS5461,2012-02-06,47,1,2,2012,Monday
